Agency Name,State Name [District] Latest available year,State Abbr [District] Latest available year,Agency Name [District] 2021-22,Agency ID - NCES Assigned [District] Latest available year,Total Expenditures (TOTALEXP) per Pupil (V33) [District Finance] 2021-22,Agency Type [District] 2021-22
A E R O  SPEC EDUC COOP,Illinois,IL ,A E R O  Spec Educ Coop,1700024,–,9-Specialized public school district
A W BEATTIE CAREER CENTER,Pennsylvania,PA ,A W Beattie Career Center,4280010,–,9-Specialized public school district
A-C CENTRAL CUSD 262,Illinois,IL ,A-C Central CUSD 262,1700105,17729,1-Regular local school district that is NOT a component of a supervisory union
A. LINWOOD HOLTON GOVERNOR'S SCHOOL,Virginia,VA ,A. LINWOOD HOLTON GOV SCH,5100033,–,9-Specialized public school district
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,MN ,A.C.G.C. Public School District,2700106,17691,1-Regular local school district that is NOT a component of a supervisory union
ABBEVILLE 60,South Carolina,SC ,Abbeville 60,4500690,20782,1-Regular local school district that is NOT a component of a supervisory union
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,WI ,Abbotsford School District,5500030,15137,1-Regular local school district that is NOT a component of a supervisory union
ABBOTT ISD,Texas,TX ,ABBOTT ISD,4807380,13360,1-Regular local school district that is NOT a component of a supervisory union
ABC UNIFIED,California,CA ,ABC Unified,0601620,18320,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN DISTRICT,Idaho,ID ,ABERDEEN DISTRICT,1600030,13255,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DIST,Mississippi,MS ,ABERDEEN SCHOOL DIST,2800360,14663,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT,Washington,WA ,Aberdeen School District,5300030,19073,1-Regular local school district that is NOT a component of a supervisory union
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,SD ,Aberdeen School District 06-1,4602070,11519,1-Regular local school district that is NOT a component of a supervisory union
ABERNATHY ISD,Texas,TX ,ABERNATHY ISD,4807410,13742,1-Regular local school district that is NOT a component of a supervisory union
ABILENE,Kansas,KS ,Abilene,2003180,14614,1-Regular local school district that is NOT a component of a supervisory union
ABILENE ISD,Texas,TX ,ABILENE ISD,4807440,14351,1-Regular local school district that is NOT a component of a supervisory union
ABINGDON-AVON CUSD 276,Illinois,IL ,Abingdon-Avon CUSD 276,1701413,18392,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON,Massachusetts,MA ,Abington,2501650,25930,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON HEIGHTS SD,Pennsylvania,PA ,Abington Heights SD,4202010,15484,1-Regular local school district that is NOT a component of a supervisory union
ABINGTON SD,Pennsylvania,PA ,Abington SD,4202040,22414,1-Regular local school district that is NOT a component of a supervisory union
ABSAROKEE ELEM,Montana,MT ,Absarokee Elem,3001710,18652,1-Regular local school district that is NOT a component of a supervisory union
ABSAROKEE H S,Montana,MT ,Absarokee H S,3001740,27707,1-Regular local school district that is NOT a component of a supervisory union
ABSECON PUBLIC SCHOOLS DISTRICT,New Jersey,NJ ,Absecon Public Schools District,3400660,26680,1-Regular local school district that is NOT a component of a supervisory union
ACADEMY ISD,Texas,TX ,ACADEMY ISD,4807470,14081,1-Regular local school district that is NOT a component of a supervisory union
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,CO ,Academy School District No. 20 in the county of El Paso an,0801920,12372,1-Regular local school district that is NOT a component of a supervisory union
ACADIA PARISH,Louisiana,LA ,Acadia Parish,2200030,13439,1-Regular local school district that is NOT a component of a supervisory union
ACALANES UNION HIGH,California,CA ,Acalanes Union High,0601650,20028,1-Regular local school district that is NOT a component of a supervisory union
ACCOMACK COUNTY PUBLIC SCHOOLS,Virginia,VA ,ACCOMACK CO PBLC SCHS,5100060,15423,1-Regular local school district that is NOT a component of a supervisory union
ACHIEVEMENT SCHOOL DISTRICT,Tennessee,TN ,Achievement School District,4700147,–,9-Specialized public school district
ACHILLE,Oklahoma,OK ,ACHILLE,4002370,15739,1-Regular local school district that is NOT a component of a supervisory union
ACTON PUBLIC SCHOOLS,Maine,ME ,Acton Public Schools,2302220,25787,1-Regular local school district that is NOT a component of a supervisory union
ACTON-AGUA DULCE UNIFIED,California,CA ,Acton-Agua Dulce Unified,0600001,19495,1-Regular local school district that is NOT a component of a supervisory union
