State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2021-22,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1986-87
ALABAMA,11862,10728,10140,10107,9717,9528,9258,9146,9036,8773,8577,8726,8907,8964,9197,8398,7683,7073,6581,6300,6029,5885,5638,5188,4849,4595,4343,4109,3826,3568,3415,3429,3144,3019,2569,2420
ALASKA,20186,19540,18313,18393,17726,17838,17510,20191,18466,18217,17475,16663,15829,15363,14641,12324,11476,10847,10116,9870,9563,9216,8806,8404,8271,8231,8189,8033,7960,7901,7852,7502,7577,6940,7079,7131
ARIZONA,10401,9571,8694,8773,8373,8053,7772,7590,7457,7495,7382,7782,7968,8022,7727,7316,6515,6307,5999,6283,5851,5521,5030,4672,4595,4413,4476,4264,4104,4088,3957,3860,3717,3728,3498,3436
ARKANSAS,12167,11239,10369,10412,10168,10004,9900,9805,9752,9538,9536,9496,9281,8854,8677,8391,8030,7659,6842,6482,6276,5568,5277,4956,4708,4535,4401,4186,4013,3859,3777,3461,3229,3023,2771,2558
CALIFORNIA,16967,14753,14042,13831,12664,12151,11420,10449,9671,9258,9329,9146,9300,9503,9706,8952,8301,7905,7673,7552,7405,6987,6314,5801,5644,5260,4937,4799,4719,4609,4640,4595,4502,4205,3877,3772
COLORADO,13447,12233,11647,11072,10238,9849,9619,9292,9036,8693,8594,8786,8926,8782,9152,8286,8166,7826,7478,7384,6941,6567,6215,5923,5656,5312,5121,5047,4727,4766,4644,4603,4357,4151,3878,3814
CONNECTICUT,23868,22216,20889,21140,20147,19929,19615,19020,18401,17321,16855,16224,15698,15353,14610,13659,13072,12263,11436,11057,10577,10127,9753,9318,8901,8580,8430,8380,7947,7655,7620,7547,7463,6479,5905,5150
DELAWARE,18793,16589,16777,15929,15282,14892,14397,13882,13793,13653,13580,12467,12222,12109,12153,11760,11621,10911,10212,9693,9284,8958,8310,7706,7420,7135,6696,6502,6101,5753,5599,5458,5326,4958,4606,4429
DISTRICT OF COLUMBIA,28128,25113,23754,22984,23161,22561,21135,20610,20577,20530,19847,20793,20910,19698,16353,15511,13752,13915,12959,11847,12102,12046,10107,9650,8393,8048,8510,8290,8843,8286,8403,8029,7872,6888,5662,5153
FLORIDA,11681,10823,10305,9986,9663,9374,9176,9113,8955,8623,8520,9030,8863,8867,9084,8567,7812,7215,6793,6439,6213,6170,5831,5790,5552,5360,5275,5220,5063,4876,4821,4859,4597,4210,3778,3515
GEORGIA,13569,12108,11686,11203,10760,10274,9835,9476,9236,9121,9272,9259,9432,9649,9718,9102,8595,8065,7742,7774,7380,6929,6437,6092,5647,5369,5056,4828,4569,4368,4124,4171,4000,3616,3195,2969
HAWAII,17420,16550,16564,16132,15242,14322,13748,12855,12400,11743,11973,11924,11714,12400,11800,11316,9876,8997,8533,8100,7306,6596,6530,6081,5858,5633,5560,5597,5533,5332,5062,4820,4130,3841,3661,3503
IDAHO,9662,9054,8337,8043,7846,7554,7178,6899,6577,6761,6626,6821,7100,7118,6951,6648,6469,6319,6168,6081,6011,5725,5315,5066,4721,4447,4194,3957,3628,3471,3370,3206,2921,2656,2505,2462
ILLINOIS,19188,18527,17483,16281,15912,15517,14327,13935,13213,12443,12011,11742,11739,11097,10353,9596,9113,8896,8606,8287,7956,7631,7133,6762,6242,5940,5519,5553,5323,5307,5002,4904,4521,4265,3822,3541
